,ids,text,times,screen_names,names,hashtag1,hashtag2,hashtag3,url1,url2,url3,in reply to screen name,in reply to user id,in reply to status id,statuses count,friends count,followers count,lang of the account,location of the account
11,874686446002741251,RT @116000FRANCE: Sofia a disparu depuis le mardi 6 juin. Elle a été vue pour la dernière fois rue Debourg à Lyon #RetrouvonsLes… ,Tue Jun 13 17:54:34 +0000 2017,ThierryRouby,thierry rouby,RetrouvonsLes,,,,,,,,,78679,562,809,fr,"Caen, Basse-Normandie"
12,874686474989555712,@PaulinoAt @peter_jak88 Lyon est sur chicharito depuis 2011,Tue Jun 13 17:54:41 +0000 2017,fablyon69330,fab lyon,,,,,,,PaulinoAt,3230570486,874681817214971906,4423,2155,372,fr,France
13,874686498309890049,RT @EnMarcheLyon: Que les choses soient dites : nous ne rejetons pas le débat. Preuve : @BrunoBonnellOff est dans quelques minutes su… ,Tue Jun 13 17:54:46 +0000 2017,MddHyvert,M. Deguay d'Hyvert,,,,,,,,,,15375,5001,946,fr,"Stockholm, Sweden"
14,874686557407588357,"RT @Sapphire_June: Hé les #lyonnaises, vous connaissez la boutique @BeEcocentric ? 
https://t.co/7Spj6NIrHT",Tue Jun 13 17:55:00 +0000 2017,Sapphire_June,Sofia ♡,lyonnaises,,,http://sapphirejune.blogspot.fr/2017/06/ecocentric-boutique-bio-naturelle-lyon.html,,,,,,4199,96,375,fr,Lyon - France
15,874686571307569152,"@LOSC_addict Pour remplacer Eder 
Je prends maintenant attention à Lyon",Tue Jun 13 17:55:04 +0000 2017,magicmanu7,emmanuel leblanc,,,,,,,LOSC_addict,827526090398769153,874671534593515523,271,189,12,fr,lille
16,874686593461833729,"RT @Creer_a_Lyon: Retrouvez l'interview de Morgan Schleidt, PDG @UrbeeSystem et Léthicia Rancurel, Directrice @tuba_lyon au #SDE2017
https:…",Tue Jun 13 17:55:09 +0000 2017,3pointQUATORZE,TROIS(point)QUATORZE,SDE2017,,,,,,,,,5351,438,306,fr,Lyon
17,874686614718513152,"""La République, c'est l'amour de tous les peuples, à l'exception du peuple français."" Charles Maurras https://t.co/yqBDupgITG",Tue Jun 13 17:55:14 +0000 2017,actionfrancaise,Action Française,,,,https://twitter.com/berth_antoine/status/874643592337379328,,,,,,9307,33,7865,fr,75001 Paris
18,874686660444909568,"Virginie Despentes à Lyon pour le dernier tome de ""Vernon Subutex"" https://t.co/p5MpqLMKgY",Tue Jun 13 17:55:25 +0000 2017,aquilantum,aquilantum,,,,http://www.heteroclite.org/2017/06/virginie-despentes-vernon-subutex-43507,,,,,,588,29,25,fr,"Lyon, France "
19,874686661464129537,Mais alors @GillesFavard ? https://t.co/9B6nOpOpCL,Tue Jun 13 17:55:25 +0000 2017,gilmon8,gilmon,,,,https://twitter.com/omisapro/status/874666172662337537,,,,,,22403,218,161,fr,
20,874686667621269504,RT @TWITT_ASS: @PierreMenes @DanielRiolo  Reste seulement Lyon dans le top 8 a avoir un coach en bois... Incroyable @JM_Aulas,Tue Jun 13 17:55:27 +0000 2017,Barcelyonnais35,Un gone,,,,,,,,,,26392,547,567,fr,
21,874686685967155200,#NouvelleCaledonie Chazal se qualifie pour le Challenger de Lyon https://t.co/tSkDU0C5eq,Tue Jun 13 17:55:31 +0000 2017,lncnc_all,LNC.nc à la Une,NouvelleCaledonie,,,http://ift.tt/2sYAVt1,,,,,,9000,3,485,fr,Nouvelle-Calédonie
22,874686690585174016,Lyon: 500 kg de cannabis saisis lors d’un «go fast» – 20minutes.fr https://t.co/2QrCkpPNTU,Tue Jun 13 17:55:32 +0000 2017,fr_actualite,France actualité,,,,https://www.franceactualite.fr/lyon/lyon-500-kg-de-cannabis-saisis-lors-dun-go-fast-20minutes-fr/,,,,,,246902,16,908,fr,France
23,874686698596298752,"RT @actionfrancaise: ""La République, c'est l'amour de tous les peuples, à l'exception du peuple français."" Charles Maurras https://t.co/yqB…",Tue Jun 13 17:55:34 +0000 2017,Guyotville1962,Pepe Guyotville,,,,,,,,,,5045,104,48,fr,Risitas/Chancla/Issou
24,874686706968080386,"Soiree de gala Onlylight à l'hôtel de ville de Lyon, prélude au nouveau salon des usages de la lumière qui sera ina… https://t.co/0VndirboXH",Tue Jun 13 17:55:36 +0000 2017,NBonnetLyon,Bonnet,,,,https://twitter.com/i/web/status/874686706968080386,,,,,,5,15,5,fr,
